reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
no_match,,it-knows,,It Knows,,,,,,
no_match,,ghostbusters-collection,,Ghostbusters Collection,,,,,,
no_match,,panama-canal-gateway-to-the-american-century,,Panama Canal: Gateway to the American Century,2011,,,,,
no_match,,ranma-ova-9-cho-musabetsu-kessen-ranma-team-vs-densetsu-no-houo,,Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,1994,,,,,
no_match,,stand-outs,,Stand-Outs,2015,,,,,
no_match,,infinite-ryvius,,Infinite Ryvius,1999,,,,,
no_match,,the-cast-of-twin-peaks,,The Cast of Twin Peaks,2017,,,,,
no_match,,forest-of-oppression-a-record-of-the-struggle-at-takasaki-city-university-of-economics,,Forest of Oppression — A Record of the Struggle at Takasaki City University of Economics,1967,,,,,
no_match,,who-killed-aliyah,,Who Killed Aliyah?,2012,,,,,
no_match,,concepts-of-duality,,Concepts of Duality,2015,,,,,
no_match,,temporarily-stop-sex,,Temporarily Stop Sex,1987,,,,,
no_match,,k-on-live-house,,K-On!: Live House!,2010,,,,,
no_match,,film-4,,Film 4,1927,,,,,
no_match,,zato-ichi-blind-swordsman-tribute,,Zato Ichi: Blind Swordsman Tribute,2009,,,,,
no_match,,the-winters-tale-live-from-shakespeares-globe,,The Winter's Tale: Live from Shakespeare's Globe,2018,,,,,
no_match,,the-diamond-hunters,,The Diamond Hunters,2001,,,,,
no_match,,o-filos-mou-o-lefterakis,,O filos mou o Lefterakis,1963,,,,,
no_match,,london-spy,,London Spy,2015,,,,,
low_confidence,275631,broken-trail,0.6642,Broken Trail,2006,Broken Trail: The Making of a Legendary Western,2006,2006-06-04,0.8873,
low_confidence,16783,national-lampoon-presents-electric-apricot-quest-for-festeroo,0.6658,National Lampoon Presents Electric Apricot: Quest for Festeroo,2007,Electric Apricot,2007,2007-11-09,0.4393,
no_match,,dicked-down-in-debt,,Dicked Down in Debt,2018,,,,,
low_confidence,145383,day-after-tomorrow,0.7645,Day After Tomorrow,1968,One After Another,1968,1968-11-13,0.3969,
low_confidence,533514,violet-evergarden,0.7769,Violet Evergarden,2018,Violet Evergarden: The Movie,2020,2020-09-18,8.3980,
no_match,,david-lynch-cooks-quinoa,,David Lynch Cooks Quinoa,2007,,,,,
no_match,,abhijan,,Abhijan,1962,,,,,
no_match,,the-santa-clause-collection,,The Santa Clause Collection,,,,,,
no_match,,wet-woman-in-the-wind,,Wet Woman in the Wind,2016,,,,,
no_match,,weta-workshop,,Weta Workshop,2002,,,,,
no_match,,ekis-walang-tatakas,,Ekis:  Walang Tatakas,1999,,,,,
no_match,,wild-cardz,,Wild Cardz,1997,,,,,
no_match,,dio-live-in-tokyo-japan-super-rock-festival-1985,,Dio - Live In Tokyo Japan Super Rock Festival 1985,,,,,,
low_confidence,77027,david-attenboroughs-ant-mountain,0.7224,David Attenborough's Ant Mountain,2017,Attenborough and the Empire of the Ants,2017,2017-12-28,0.3596,
no_match,,xiii,,XIII,2008,,,,,
